Class,CBO,DIT,LOC
"org.jboss.as.clustering.controller.AttributeParsers",6,1,21
"org.jboss.as.clustering.controller.BoottimeAddStepHandler",11,3,68
"org.jboss.as.clustering.controller.CapabilityDependency",8,3,9
"org.jboss.as.clustering.controller.CapabilityReference",9,1,45
"org.jboss.as.clustering.controller.CapabilityRegistration",6,1,20
"org.jboss.as.clustering.controller.ChildResourceDefinition",19,3,12
"org.jboss.as.clustering.controller.ExecutionHandler",6,2,34
"org.jboss.as.clustering.controller.MetricHandler",16,3,21
"org.jboss.as.clustering.controller.OperationHandler",10,3,21
"org.jboss.as.clustering.controller.Operations",38,1,208
"org.jboss.as.clustering.controller.ParentResourceServiceHandler",8,2,13
"org.jboss.as.clustering.controller.ReloadRequiredWriteAttributeHandler",5,3,28
"org.jboss.as.clustering.controller.RemoveStepHandler",49,2,44
"org.jboss.as.clustering.controller.RequiredCapability",18,n/a,18
"org.jboss.as.clustering.controller.ResourceDescriptor",53,1,95
"org.jboss.as.clustering.controller.RestartParentResourceAddStepHandler",12,3,19
"org.jboss.as.clustering.controller.RestartParentResourceRemoveStepHandler",13,3,19
"org.jboss.as.clustering.controller.RestartParentResourceStepHandler",7,2,26
"org.jboss.as.clustering.controller.RestartParentResourceWriteAttributeHandler",10,3,42
"org.jboss.as.clustering.controller.SimpleAliasEntry",15,2,24
"org.jboss.as.clustering.controller.SimpleAttribute",8,1,14
"org.jboss.as.clustering.controller.SimpleResourceServiceHandler",35,1,18
"org.jboss.as.clustering.controller.SubsystemResourceDefinition",4,3,9
"org.jboss.as.clustering.controller.descriptions.SimpleResourceDescriptionResolver",2,2,32
"org.jboss.as.clustering.controller.descriptions.SubsystemResourceDescriptionResolver",3,2,185
"org.jboss.as.clustering.controller.transform.AttributeOperationTransformer",1,1,16
"org.jboss.as.clustering.controller.transform.ChainedOperationTransformer",3,1,76
"org.jboss.as.clustering.controller.transform.InitialAttributeValueOperationContextAttachment",5,1,20
"org.jboss.as.clustering.controller.transform.LegacyPropertyAddOperationTransformer",8,1,30
"org.jboss.as.clustering.controller.transform.LegacyPropertyMapGetOperationTransformer",6,1,17
"org.jboss.as.clustering.controller.transform.LegacyPropertyResourceTransformer",8,1,26
"org.jboss.as.clustering.controller.transform.LegacyPropertyWriteOperationTransformer",6,1,75
"org.jboss.as.clustering.controller.transform.RequiredChildResourceDiscardPolicy",6,n/a,38
"org.jboss.as.clustering.controller.transform.SimpleAddOperationTransformer",8,1,40
"org.jboss.as.clustering.controller.transform.SimpleAttributeConverter",3,1,18
"org.jboss.as.clustering.controller.transform.SimpleDescribeOperationTransformer",4,1,17
"org.jboss.as.clustering.controller.transform.SimpleOperationTransformer",13,1,21
"org.jboss.as.clustering.controller.transform.SimplePathOperationTransformer",4,1,23
"org.jboss.as.clustering.controller.transform.SimpleReadAttributeOperationTransformer",4,1,18
"org.jboss.as.clustering.controller.transform.SimpleRejectAttributeChecker",2,1,27
"org.jboss.as.clustering.controller.transform.SimpleRemoveOperationTransformer",3,1,17
"org.jboss.as.clustering.controller.transform.SimpleResourceTransformer",2,1,16
"org.jboss.as.clustering.controller.transform.SimpleUndefineAttributeOperationTransformer",3,1,18
"org.jboss.as.clustering.controller.transform.SimpleWriteAttributeOperationTransformer",3,1,19
"org.jboss.as.clustering.controller.transform.UndefinedAttributesDiscardPolicy",4,1,23
"org.jboss.as.clustering.controller.validation.AbstractParameterValidatorBuilder",6,1,29
"org.jboss.as.clustering.controller.validation.DoubleRangeValidatorBuilder",5,2,47
"org.jboss.as.clustering.controller.validation.DoubleRangeValidatorBuilder.Bound",2,1,14
"org.jboss.as.clustering.controller.validation.DoubleRangeValidatorBuilder.DoubleRangeValidator",3,2,40
"org.jboss.as.clustering.controller.validation.EnumValidatorBuilder",11,2,18
"org.jboss.as.clustering.controller.validation.IntRangeValidatorBuilder",5,2,19
"org.jboss.as.clustering.controller.validation.LongRangeValidatorBuilder",4,2,19
"org.jboss.as.clustering.controller.validation.ModuleIdentifierValidatorBuilder",6,2,10
"org.jboss.as.clustering.controller.validation.ModuleIdentifierValidatorBuilder.ModuleIdentifierValidator",1,2,17
"org.jboss.as.clustering.dmr.ModelNodes",27,1,109
"org.jboss.as.clustering.infinispan.ChannelTransport",3,3,37
"org.jboss.as.clustering.infinispan.ClassLoaderThreadFactory",2,1,31
"org.jboss.as.clustering.infinispan.DataSourceConnectionFactory",2,2,33
"org.jboss.as.clustering.infinispan.DataSourceConnectionFactoryConfiguration",2,1,18
"org.jboss.as.clustering.infinispan.DataSourceConnectionFactoryConfigurationBuilder",3,5,31
"org.jboss.as.clustering.infinispan.DefaultCache",8,3,68
"org.jboss.as.clustering.infinispan.DefaultCacheContainer",17,2,145
"org.jboss.as.clustering.infinispan.InfinispanBatcherFactory",6,1,9
"org.jboss.as.clustering.infinispan.MBeanServerProvider",1,1,17
"org.jboss.as.clustering.infinispan.TransactionManagerProvider",1,1,17
"org.jboss.as.clustering.infinispan.TransactionSynchronizationRegistryProvider",1,1,15
"org.jboss.as.clustering.infinispan.deployment.ClusteringDependencyProcessor",1,1,21
"org.jboss.as.clustering.infinispan.subsystem.BackupForBuilder",7,3,22
"org.jboss.as.clustering.infinispan.subsystem.BackupForBuilderFactory",4,1,13
"org.jboss.as.clustering.infinispan.subsystem.BackupForResourceDefinition",20,5,27
"org.jboss.as.clustering.infinispan.subsystem.BackupForResourceDefinition.Attribute",6,n/a,18
"org.jboss.as.clustering.infinispan.subsystem.BackupOperation",4,n/a,37
"org.jboss.as.clustering.infinispan.subsystem.BackupOperationExecutor",9,1,26
"org.jboss.as.clustering.infinispan.subsystem.BackupResourceDefinition",23,4,43
"org.jboss.as.clustering.infinispan.subsystem.BackupResourceDefinition.Attribute",8,n/a,19
"org.jboss.as.clustering.infinispan.subsystem.BackupResourceDefinition.TakeOfflineAttribute",6,n/a,13
"org.jboss.as.clustering.infinispan.subsystem.BackupsBuilder",10,3,52
"org.jboss.as.clustering.infinispan.subsystem.BackupsBuilderFactory",4,1,13
"org.jboss.as.clustering.infinispan.subsystem.BackupsResourceDefinition",18,5,35
"org.jboss.as.clustering.infinispan.subsystem.BinaryKeyedJDBCStoreBuilder",4,5,29
"org.jboss.as.clustering.infinispan.subsystem.BinaryKeyedJDBCStoreBuilderFactory",4,1,14
"org.jboss.as.clustering.infinispan.subsystem.BinaryKeyedJDBCStoreResourceDefinition",35,6,91
"org.jboss.as.clustering.infinispan.subsystem.BinaryKeyedJDBCStoreResourceDefinition.DeprecatedAttribute",10,n/a,27
"org.jboss.as.clustering.infinispan.subsystem.BinaryTableBuilder",5,4,9
"org.jboss.as.clustering.infinispan.subsystem.BinaryTableBuilderFactory",5,1,14
"org.jboss.as.clustering.infinispan.subsystem.BinaryTableResourceDefinition",27,5,53
"org.jboss.as.clustering.infinispan.subsystem.BinaryTableResourceDefinition.Attribute",7,n/a,17
"org.jboss.as.clustering.infinispan.subsystem.CacheComponent",36,n/a,35
"org.jboss.as.clustering.infinispan.subsystem.CacheComponentBuilder",17,2,9
"org.jboss.as.clustering.infinispan.subsystem.CacheComponentServiceNameProvider",3,1,18
"org.jboss.as.clustering.infinispan.subsystem.CacheConfigurationBuilder",13,1,71
"org.jboss.as.clustering.infinispan.subsystem.CacheContainerBuilder",10,1,70
"org.jboss.as.clustering.infinispan.subsystem.CacheContainerComponent",9,n/a,19
"org.jboss.as.clustering.infinispan.subsystem.CacheContainerComponentBuilder",10,2,12
"org.jboss.as.clustering.infinispan.subsystem.CacheContainerComponentServiceNameProvider",3,1,15
"org.jboss.as.clustering.infinispan.subsystem.CacheContainerMetric",3,n/a,48
"org.jboss.as.clustering.infinispan.subsystem.CacheContainerMetricExecutor",8,1,13
"org.jboss.as.clustering.infinispan.subsystem.CacheContainerResourceDefinition",39,4,144
"org.jboss.as.clustering.infinispan.subsystem.CacheContainerResourceDefinition.Attribute",15,n/a,27
"org.jboss.as.clustering.infinispan.subsystem.CacheContainerResourceDefinition.DeprecatedAttribute",7,n/a,14
"org.jboss.as.clustering.infinispan.subsystem.CacheContainerResourceDefinition.ExecutorAttribute",6,n/a,15
"org.jboss.as.clustering.infinispan.subsystem.CacheContainerServiceHandler",23,1,68
"org.jboss.as.clustering.infinispan.subsystem.CacheMetric",7,n/a,134
"org.jboss.as.clustering.infinispan.subsystem.CacheMetricExecutor",7,1,17
"org.jboss.as.clustering.infinispan.subsystem.CacheResourceDefinition",34,4,85
"org.jboss.as.clustering.infinispan.subsystem.CacheResourceDefinition.Attribute",17,n/a,18
"org.jboss.as.clustering.infinispan.subsystem.CacheResourceDefinition.DeprecatedAttribute",17,n/a,32
"org.jboss.as.clustering.infinispan.subsystem.CacheServiceHandler",21,1,50
"org.jboss.as.clustering.infinispan.subsystem.ClusteredCacheBuilder",9,2,34
"org.jboss.as.clustering.infinispan.subsystem.ClusteredCacheMetric",3,n/a,39
"org.jboss.as.clustering.infinispan.subsystem.ClusteredCacheMetricExecutor",7,1,15
"org.jboss.as.clustering.infinispan.subsystem.ClusteredCacheResourceDefinition",11,5,29
"org.jboss.as.clustering.infinispan.subsystem.ClusteredCacheResourceDefinition.Attribute",12,n/a,19
"org.jboss.as.clustering.infinispan.subsystem.ClusteredCacheResourceDefinition.DeprecatedAttribute",7,n/a,13
"org.jboss.as.clustering.infinispan.subsystem.ClusteredCacheServiceHandler",6,2,8
"org.jboss.as.clustering.infinispan.subsystem.ComponentBuilder",8,1,18
"org.jboss.as.clustering.infinispan.subsystem.ComponentResourceDefinition",10,4,11
"org.jboss.as.clustering.infinispan.subsystem.ConsistentHashStrategy",2,n/a,19
"org.jboss.as.clustering.infinispan.subsystem.CustomStoreBuilder",4,4,17
"org.jboss.as.clustering.infinispan.subsystem.CustomStoreBuilderFactory",4,1,13
"org.jboss.as.clustering.infinispan.subsystem.CustomStoreResourceDefinition",22,5,35
"org.jboss.as.clustering.infinispan.subsystem.CustomStoreResourceDefinition.Attribute",6,n/a,16
"org.jboss.as.clustering.infinispan.subsystem.DistributedCacheBuilder",9,4,41
"org.jboss.as.clustering.infinispan.subsystem.DistributedCacheBuilderFactory",4,1,11
"org.jboss.as.clustering.infinispan.subsystem.DistributedCacheResourceDefinition",30,7,46
"org.jboss.as.clustering.infinispan.subsystem.DistributedCacheResourceDefinition.Attribute",12,n/a,29
"org.jboss.as.clustering.infinispan.subsystem.DistributedCacheServiceHandler",3,3,8
"org.jboss.as.clustering.infinispan.subsystem.EvictionBuilder",7,3,22
"org.jboss.as.clustering.infinispan.subsystem.EvictionBuilderFactory",4,1,12
"org.jboss.as.clustering.infinispan.subsystem.EvictionMetric",4,n/a,22
"org.jboss.as.clustering.infinispan.subsystem.EvictionMetricExecutor",7,1,15
"org.jboss.as.clustering.infinispan.subsystem.EvictionResourceDefinition",26,5,42
"org.jboss.as.clustering.infinispan.subsystem.EvictionResourceDefinition.Attribute",8,n/a,25
"org.jboss.as.clustering.infinispan.subsystem.ExpirationBuilder",6,3,20
"org.jboss.as.clustering.infinispan.subsystem.ExpirationBuilderFactory",4,1,13
"org.jboss.as.clustering.infinispan.subsystem.ExpirationResourceDefinition",22,5,26
"org.jboss.as.clustering.infinispan.subsystem.ExpirationResourceDefinition.Attribute",6,n/a,20
"org.jboss.as.clustering.infinispan.subsystem.FileStoreBuilder",5,4,32
"org.jboss.as.clustering.infinispan.subsystem.FileStoreBuilderFactory",4,1,13
"org.jboss.as.clustering.infinispan.subsystem.FileStoreResourceDefinition",22,5,44
"org.jboss.as.clustering.infinispan.subsystem.FileStoreResourceDefinition.Attribute",6,n/a,18
"org.jboss.as.clustering.infinispan.subsystem.GlobalConfigurationBuilder",18,1,83
"org.jboss.as.clustering.infinispan.subsystem.InfinispanBindingFactory",7,1,15
"org.jboss.as.clustering.infinispan.subsystem.InfinispanExtension",12,1,37
"org.jboss.as.clustering.infinispan.subsystem.InfinispanModel",38,n/a,22
"org.jboss.as.clustering.infinispan.subsystem.InfinispanProfileParsingCompletionHandler",5,1,45
"org.jboss.as.clustering.infinispan.subsystem.InfinispanResourceDescriptionResolver",24,3,18
"org.jboss.as.clustering.infinispan.subsystem.InfinispanSchema",7,n/a,35
"org.jboss.as.clustering.infinispan.subsystem.InfinispanSubsystemResourceDefinition",13,4,30
"org.jboss.as.clustering.infinispan.subsystem.InfinispanSubsystemServiceHandler",10,1,31
"org.jboss.as.clustering.infinispan.subsystem.InfinispanSubsystemXMLReader",76,1,"1,404"
"org.jboss.as.clustering.infinispan.subsystem.InfinispanSubsystemXMLWriter",61,1,304
"org.jboss.as.clustering.infinispan.subsystem.InvalidationCacheBuilder",2,3,8
"org.jboss.as.clustering.infinispan.subsystem.InvalidationCacheBuilderFactory",4,1,9
"org.jboss.as.clustering.infinispan.subsystem.InvalidationCacheResourceDefinition",21,6,35
"org.jboss.as.clustering.infinispan.subsystem.InvalidationCacheServiceHandler",3,3,8
"org.jboss.as.clustering.infinispan.subsystem.JDBCStoreBuilder",13,4,23
"org.jboss.as.clustering.infinispan.subsystem.JDBCStoreResourceDefinition",18,5,86
"org.jboss.as.clustering.infinispan.subsystem.JDBCStoreResourceDefinition.Attribute",15,n/a,17
"org.jboss.as.clustering.infinispan.subsystem.JDBCStoreResourceDefinition.Capability",5,n/a,18
"org.jboss.as.clustering.infinispan.subsystem.JDBCStoreResourceDefinition.DeprecatedAttribute",8,n/a,12
"org.jboss.as.clustering.infinispan.subsystem.JGroupsTransportBuilder",13,3,41
"org.jboss.as.clustering.infinispan.subsystem.JGroupsTransportResourceDefinition",28,5,136
"org.jboss.as.clustering.infinispan.subsystem.JGroupsTransportResourceDefinition.Attribute",8,n/a,13
"org.jboss.as.clustering.infinispan.subsystem.JGroupsTransportResourceDefinition.DeprecatedAttribute",4,n/a,14
"org.jboss.as.clustering.infinispan.subsystem.JGroupsTransportResourceDefinition.ExecutorAttribute",6,n/a,13
"org.jboss.as.clustering.infinispan.subsystem.JGroupsTransportServiceHandler",19,1,38
"org.jboss.as.clustering.infinispan.subsystem.KeyAffinityServiceFactoryBuilder",9,1,51
"org.jboss.as.clustering.infinispan.subsystem.KeyAffinityServiceFactoryBuilder.SimpleKeyAffinityService",2,1,27
"org.jboss.as.clustering.infinispan.subsystem.LocalCacheBuilder",4,2,36
"org.jboss.as.clustering.infinispan.subsystem.LocalCacheBuilderFactory",4,1,11
"org.jboss.as.clustering.infinispan.subsystem.LocalCacheResourceDefinition",20,5,33
"org.jboss.as.clustering.infinispan.subsystem.LocalCacheServiceHandler",4,2,8
"org.jboss.as.clustering.infinispan.subsystem.LockingBuilder",7,3,21
"org.jboss.as.clustering.infinispan.subsystem.LockingBuilderFactory",4,1,13
"org.jboss.as.clustering.infinispan.subsystem.LockingMetric",3,n/a,34
"org.jboss.as.clustering.infinispan.subsystem.LockingMetricExecutor",7,1,15
"org.jboss.as.clustering.infinispan.subsystem.LockingResourceDefinition",25,5,32
"org.jboss.as.clustering.infinispan.subsystem.LockingResourceDefinition.Attribute",8,n/a,28
"org.jboss.as.clustering.infinispan.subsystem.MetricKeys",7,1,54
"org.jboss.as.clustering.infinispan.subsystem.MixedKeyedJDBCStoreBuilder",4,5,33
"org.jboss.as.clustering.infinispan.subsystem.MixedKeyedJDBCStoreBuilderFactory",4,1,13
"org.jboss.as.clustering.infinispan.subsystem.MixedKeyedJDBCStoreResourceDefinition",37,6,92
"org.jboss.as.clustering.infinispan.subsystem.MixedKeyedJDBCStoreResourceDefinition.DeprecatedAttribute",8,n/a,14
"org.jboss.as.clustering.infinispan.subsystem.Mode",2,n/a,21
"org.jboss.as.clustering.infinispan.subsystem.NoStoreBuilder",4,3,12
"org.jboss.as.clustering.infinispan.subsystem.NoStoreBuilderFactory",4,1,13
"org.jboss.as.clustering.infinispan.subsystem.NoStoreResourceDefinition",14,4,20
"org.jboss.as.clustering.infinispan.subsystem.NoTransportBuilder",3,3,12
"org.jboss.as.clustering.infinispan.subsystem.NoTransportResourceDefinition",7,5,20
"org.jboss.as.clustering.infinispan.subsystem.NoTransportServiceHandler",10,1,29
"org.jboss.as.clustering.infinispan.subsystem.PartitionHandlingBuilder",6,3,19
"org.jboss.as.clustering.infinispan.subsystem.PartitionHandlingBuilderFactory",4,1,14
"org.jboss.as.clustering.infinispan.subsystem.PartitionHandlingMetric",2,n/a,21
"org.jboss.as.clustering.infinispan.subsystem.PartitionHandlingMetricExecutor",7,1,14
"org.jboss.as.clustering.infinispan.subsystem.PartitionHandlingOperation",3,n/a,22
"org.jboss.as.clustering.infinispan.subsystem.PartitionHandlingOperationExecutor",7,1,15
"org.jboss.as.clustering.infinispan.subsystem.PartitionHandlingResourceDefinition",21,5,29
"org.jboss.as.clustering.infinispan.subsystem.PartitionHandlingResourceDefinition.Attribute",5,n/a,17
"org.jboss.as.clustering.infinispan.subsystem.RemoteStoreBuilder",8,4,42
"org.jboss.as.clustering.infinispan.subsystem.RemoteStoreBuilderFactory",4,1,12
"org.jboss.as.clustering.infinispan.subsystem.RemoteStoreResourceDefinition",24,5,57
"org.jboss.as.clustering.infinispan.subsystem.RemoteStoreResourceDefinition.Attribute",10,n/a,29
"org.jboss.as.clustering.infinispan.subsystem.RemoteStoreResourceDefinition.Capability",3,n/a,18
"org.jboss.as.clustering.infinispan.subsystem.ReplicatedCacheBuilderFactory",4,1,11
"org.jboss.as.clustering.infinispan.subsystem.ReplicatedCacheResourceDefinition",24,7,36
"org.jboss.as.clustering.infinispan.subsystem.ReplicatedCacheServiceHandler",3,3,8
"org.jboss.as.clustering.infinispan.subsystem.ScheduledThreadPoolBuilder",8,3,38
"org.jboss.as.clustering.infinispan.subsystem.ScheduledThreadPoolBuilderFactory",5,1,16
"org.jboss.as.clustering.infinispan.subsystem.ScheduledThreadPoolResourceDefinition",21,n/a,101
"org.jboss.as.clustering.infinispan.subsystem.SegmentsAndVirtualNodeConverter",3,1,63
"org.jboss.as.clustering.infinispan.subsystem.SharedStateCacheBuilder",5,3,34
"org.jboss.as.clustering.infinispan.subsystem.SharedStateCacheResourceDefinition",12,6,36
"org.jboss.as.clustering.infinispan.subsystem.SiteBuilder",13,3,35
"org.jboss.as.clustering.infinispan.subsystem.StartMode",2,n/a,8
"org.jboss.as.clustering.infinispan.subsystem.StateTransferBuilder",6,3,21
"org.jboss.as.clustering.infinispan.subsystem.StateTransferBuilderFactory",4,1,13
"org.jboss.as.clustering.infinispan.subsystem.StateTransferResourceDefinition",20,5,45
"org.jboss.as.clustering.infinispan.subsystem.StateTransferResourceDefinition.Attribute",6,n/a,13
"org.jboss.as.clustering.infinispan.subsystem.StateTransferResourceDefinition.DeprecatedAttribute",3,n/a,13
"org.jboss.as.clustering.infinispan.subsystem.StoreBuilder",14,3,38
"org.jboss.as.clustering.infinispan.subsystem.StoreMetric",3,n/a,28
"org.jboss.as.clustering.infinispan.subsystem.StoreMetricExecutor",8,1,21
"org.jboss.as.clustering.infinispan.subsystem.StorePropertyResourceDefinition",12,4,71
"org.jboss.as.clustering.infinispan.subsystem.StoreResourceDefinition",28,4,43
"org.jboss.as.clustering.infinispan.subsystem.StoreResourceDefinition.Attribute",16,n/a,31
"org.jboss.as.clustering.infinispan.subsystem.StoreWriteBehindBuilder",6,3,19
"org.jboss.as.clustering.infinispan.subsystem.StoreWriteBehindBuilderFactory",4,1,13
"org.jboss.as.clustering.infinispan.subsystem.StoreWriteBehindResourceDefinition",16,5,41
"org.jboss.as.clustering.infinispan.subsystem.StoreWriteBehindResourceDefinition.Attribute",6,n/a,13
"org.jboss.as.clustering.infinispan.subsystem.StoreWriteBehindResourceDefinition.DeprecatedAttribute",4,n/a,14
"org.jboss.as.clustering.infinispan.subsystem.StoreWriteResourceDefinition",6,4,12
"org.jboss.as.clustering.infinispan.subsystem.StoreWriteThroughBuilder",4,3,12
"org.jboss.as.clustering.infinispan.subsystem.StoreWriteThroughBuilderFactory",4,1,13
"org.jboss.as.clustering.infinispan.subsystem.StoreWriteThroughResourceDefinition",14,5,20
"org.jboss.as.clustering.infinispan.subsystem.StringKeyedJDBCStoreBuilder",4,5,28
"org.jboss.as.clustering.infinispan.subsystem.StringKeyedJDBCStoreBuilderFactory",4,1,13
"org.jboss.as.clustering.infinispan.subsystem.StringKeyedJDBCStoreResourceDefinition",35,6,93
"org.jboss.as.clustering.infinispan.subsystem.StringKeyedJDBCStoreResourceDefinition.DeprecatedAttribute",10,n/a,27
"org.jboss.as.clustering.infinispan.subsystem.StringTableBuilder",5,4,8
"org.jboss.as.clustering.infinispan.subsystem.StringTableBuilderFactory",5,1,13
"org.jboss.as.clustering.infinispan.subsystem.StringTableResourceDefinition",29,5,52
"org.jboss.as.clustering.infinispan.subsystem.StringTableResourceDefinition.Attribute",9,n/a,17
"org.jboss.as.clustering.infinispan.subsystem.TableBuilder",10,3,32
"org.jboss.as.clustering.infinispan.subsystem.TableResourceDefinition",10,4,12
"org.jboss.as.clustering.infinispan.subsystem.TableResourceDefinition.Attribute",12,n/a,18
"org.jboss.as.clustering.infinispan.subsystem.TableResourceDefinition.ColumnAttribute",13,n/a,37
"org.jboss.as.clustering.infinispan.subsystem.ThreadPoolBuilder",8,3,32
"org.jboss.as.clustering.infinispan.subsystem.ThreadPoolBuilderFactory",5,1,16
"org.jboss.as.clustering.infinispan.subsystem.ThreadPoolResourceDefinition",22,n/a,117
"org.jboss.as.clustering.infinispan.subsystem.TransactionBuilder",12,3,51
"org.jboss.as.clustering.infinispan.subsystem.TransactionBuilderFactory",4,1,13
"org.jboss.as.clustering.infinispan.subsystem.TransactionMetric",3,n/a,34
"org.jboss.as.clustering.infinispan.subsystem.TransactionMetricExecutor",8,1,21
"org.jboss.as.clustering.infinispan.subsystem.TransactionMode",6,n/a,11
"org.jboss.as.clustering.infinispan.subsystem.TransactionResourceDefinition",40,5,139
"org.jboss.as.clustering.infinispan.subsystem.TransactionResourceDefinition.Attribute",11,n/a,27
"org.jboss.as.clustering.infinispan.subsystem.TransportResourceDefinition",6,4,12
"org.jboss.as.clustering.infinispan.subsystem.XAResourceRecoveryBuilder",6,1,48
"org.jboss.as.clustering.infinispan.subsystem.XAResourceRecoveryBuilder.InfinispanXAResourceRecovery",1,1,24
"org.jboss.as.clustering.infinispan.subsystem.XMLAttribute",55,n/a,125
"org.jboss.as.clustering.infinispan.subsystem.XMLElement",23,n/a,89
"org.jboss.as.clustering.jgroups.ClassLoaderThreadFactory",1,1,60
"org.jboss.as.clustering.jgroups.ForkChannelFactory",7,1,37
"org.jboss.as.clustering.jgroups.ForkChannelFactory.ForkProtocolStackConfiguration",5,1,38
"org.jboss.as.clustering.jgroups.JChannelFactory",19,1,237
"org.jboss.as.clustering.jgroups.JChannelFactory.Introspector",2,1,47
"org.jboss.as.clustering.jgroups.LogFactory",2,1,14
"org.jboss.as.clustering.jgroups.LogFactory.LogAdapter",1,1,110
"org.jboss.as.clustering.jgroups.ManagedSocketFactory",2,1,96
"org.jboss.as.clustering.jgroups.TopologyAddressGenerator",2,1,24
"org.jboss.as.clustering.jgroups.TransportConfigurator",2,1,18
"org.jboss.as.clustering.jgroups.subsystem.AbstractProtocolConfigurationBuilder",15,1,62
"org.jboss.as.clustering.jgroups.subsystem.ChannelMetric",3,n/a,93
"org.jboss.as.clustering.jgroups.subsystem.ChannelMetricExecutor",7,1,14
"org.jboss.as.clustering.jgroups.subsystem.ChannelResourceDefinition",33,4,80
"org.jboss.as.clustering.jgroups.subsystem.ChannelResourceDefinition.Attribute",11,n/a,25
"org.jboss.as.clustering.jgroups.subsystem.ChannelServiceHandler",21,1,48
"org.jboss.as.clustering.jgroups.subsystem.ExportNativeConfiguration",5,2,35
"org.jboss.as.clustering.jgroups.subsystem.ForkChannelFactoryBuilder",15,1,47
"org.jboss.as.clustering.jgroups.subsystem.ForkChannelFactoryBuilderFactory",5,1,9
"org.jboss.as.clustering.jgroups.subsystem.ForkProtocolResourceDefinition",17,5,36
"org.jboss.as.clustering.jgroups.subsystem.ForkProtocolResourceRegistrationHandler",16,1,70
"org.jboss.as.clustering.jgroups.subsystem.ForkResourceDefinition",18,4,37
"org.jboss.as.clustering.jgroups.subsystem.ForkServiceHandler",19,3,44
"org.jboss.as.clustering.jgroups.subsystem.JChannelFactoryBuilder",23,1,90
"org.jboss.as.clustering.jgroups.subsystem.JChannelFactoryBuilderFactory",5,1,9
"org.jboss.as.clustering.jgroups.subsystem.JGroupsBindingFactory",10,1,11
"org.jboss.as.clustering.jgroups.subsystem.JGroupsExtension",13,1,41
"org.jboss.as.clustering.jgroups.subsystem.JGroupsModel",15,n/a,21
"org.jboss.as.clustering.jgroups.subsystem.JGroupsResourceDescriptionResolver",14,3,15
"org.jboss.as.clustering.jgroups.subsystem.JGroupsSchema",7,n/a,31
"org.jboss.as.clustering.jgroups.subsystem.JGroupsSubsystemResourceDefinition",25,4,80
"org.jboss.as.clustering.jgroups.subsystem.JGroupsSubsystemResourceDefinition.Attribute",13,n/a,24
"org.jboss.as.clustering.jgroups.subsystem.JGroupsSubsystemServiceHandler",19,1,45
"org.jboss.as.clustering.jgroups.subsystem.JGroupsSubsystemXMLReader",24,1,508
"org.jboss.as.clustering.jgroups.subsystem.JGroupsSubsystemXMLWriter",23,1,134
"org.jboss.as.clustering.jgroups.subsystem.MetricKeys",1,1,21
